Name,Category,Latitude,Longitude,Area,Distance to center
LPP postajališče Bežigrad,Bus Station,46.063658090156565,14.511748552322388,65,1430.2098140134578
LPP postajališče Astra,Bus Station,46.06483693718175,14.508933577206026,65,1508.7738688043994
LPP postajališče Razstavišče,Bus Station,46.06076647268428,14.507251664420528,65,1044.1045243349758
LPP linija 7,Bus Line,46.06464004867694,14.515994765312971,65,1658.334995404251
LPP postajališče Železna cesta,Bus Station,46.06124825678789,14.513394087553024,65,1231.0159056672542
LPP postajališče Stadion,Bus Station,46.06936064610155,14.510364535097926,65,2022.682657673899
LPP postajališče Topniška,Bus Station,46.06745143861087,14.512747901862287,65,1856.1177981137566
LPP postajališče Hranilniška,Bus Station,46.06380268930937,14.507520141145365,65,1382.1510723394006
LPP postajališče Gasilska brigada,Bus Station,46.068493707416074,14.516887083526804,65,2074.6313344325927
LPP postajališče Kržičeva,Bus Station,46.06495200122347,14.513658252130188,65,1615.231884982571
LPP linija 19,Bus Line,46.06534287372932,14.51708358355182,65,1766.9606699778074
LPP postajališče Prekmurska,Bus Stop,46.064595548791296,14.515983822856116,65,1653.557733926904
LPP postajališče Savske stolpnice,Bus Station,46.0658641417593,14.522664659653914,66,2055.6986096004653
LPP postajališče Središka,Bus Station,46.062909598503644,14.525168591480382,66,1952.645648464115
LPP postajališče Savsko naselje,Bus Station,46.06252654549238,14.524483680725098,66,1884.7131175273914
LPP postajališče Žale,Bus Station,46.06702081638426,14.527519495394015,66,2400.0000030927567
LPP postajališče Pokopališka,Bus Station,46.065388778096505,14.52935390829015,66,2377.8448409693788
LPP postajališče Flajšmanova,Bus Station,46.064688664916076,14.5291378371005,66,2314.8365401248498
LPP linija 12,Bus Line,46.06487653368738,14.527429134377131,66,2228.567660141007
LPP Postajališče Zelena Jama,Bus Station,46.063448,14.529404999999999,66,2246.009033358077
LPP postajališče Šola Jarše,Bus Station,46.06670161584359,14.533159683101111,67,2697.342393346568
LPP postajališče Jarše,Bus Line,46.06883907738992,14.538688659667967,67,3180.352630055388
LPP postajališče BTC - Tržnica,Bus Station,46.06541530866304,14.543857097887221,67,3310.963254543079
LPP postajališče Rožičeva,Bus Station,46.063494,14.532101,67,2419.5857863826063
LPP postajališče Tovorni kolodvor,Bus Line,46.061365199221385,14.539031982421875,67,2778.6936310563988
LPP postajališče BTC-uprava,Bus Station,46.06799804813951,14.542174574834332,67,3345.827783752167
LPP postajališče Kodrova,Bus Station,46.069221333523906,14.539861334416615,67,3278.258925642211
LPP Postajališče BTC - Kolosej,Bus Station,46.06754684448242,14.54785442352295,68,3695.856668095924
LPP Postajališče BTC - kolosej,Bus Station,46.06568759265743,14.548430923147553,68,3640.2255365737133
Avtobusna postaja ROG,Bus Station,46.06210854330618,14.566558450289955,69,4827.657800414074
LPP Postajalisce GZL,Bus Line,46.062148302030586,14.564720591739047,69,4691.073158507178
LPP postajališče Leskoškova,Bus Stop,46.061991079602784,14.558089476465211,69,4191.926681884304
LPP postajališče Omersova,Bus Station,46.074191,14.453867,70,4769.161171699201
LPP postajališče Spar,Bus Station,46.07696151733398,14.46707248687744,71,4145.419421819915
LPP postajališče Dreveljska gmajna,Bus Station,46.07378005981445,14.46119785308838,71,4272.335496015672
LPP Postajališče Pod Kamno Gorico,Bus Station,46.073778000000004,14.45589,71,4612.369520266465
LPP postajališče Bratov Učakar,Bus Line,46.069985612253255,14.472923830217793,72,3294.346498303854
