Latitude,Longitude,Number of nearby accommodation,Distance to nearest accommodation,Number of nearby bus stations,Distance to nearest bus station,Number of nearby food venues,Distance to nearest food venue,Distance to center
46.006855651503216,14.442187312484482,0,2740.846298271204,0,2619.804258432773,0,2719.359008873836,7000.35715722611
46.00685564421086,14.443478395398229,0,2734.1158063325724,0,2621.271031962524,0,2715.49624003225,6930.065753119196
46.00685563691851,14.444769478311812,0,2731.0311010238265,0,2626.545349743879,0,2715.3116049994533,6860.510619936831
46.00685562962616,14.44606056122524,0,2731.6045335556237,0,2635.6043531351306,0,2717.3829643290896,6791.714378572733
46.006855622333816,14.447351644138484,0,2735.833803683244,0,2648.4092053524187,0,2709.6880635262214,6723.700323806572
46.00685561504147,14.448642727051562,0,2743.702005624483,0,2664.9059106196237,0,2705.668038157245,6656.492432148491
46.00685560774912,14.449933809964467,0,2755.177963505864,0,2685.026421956123,0,2705.339270419176,6590.115368108858
46.00685560045677,14.451224892877205,0,2770.216840995646,0,2708.689986215455,0,2708.7031043901998,6524.594488691051
46.006855593164424,14.452515975789774,0,2788.760997697467,0,2735.8046671641996,0,2715.745818679223,6459.955845828042
46.006855585872074,14.453807058702168,0,2810.741055129496,0,2766.268984194965,0,2726.438904484701,6396.226186570458
46.00775532478588,14.442187322949907,0,2641.22593844616,0,2519.8052672263284,0,2619.527668166919,6929.948758336574
46.00775531749332,14.44347842679404,0,2634.240959324355,0,2521.3302475714027,0,2615.5174969623563,6858.935848456884
46.00775531020074,14.444769530637997,0,2631.0392529079086,0,2526.813280537818,0,2615.325896656622,6788.652008103493
46.007755302908166,14.446060634481784,0,2631.6346276772865,0,2536.228695696099,0,2617.854300009425,6719.120116132622
46.00775529561559,14.447351738325407,0,2636.024510796557,0,2549.532926599826,0,2609.8661837971317,6650.363758260486
46.00775528832301,14.448642842168859,0,2644.1900034106175,0,2566.6655012928277,0,2605.6924390457584,6582.407237012836
46.00775528103044,14.449933946012132,0,2656.096284289056,0,2587.550376700566,0,2605.3513975647074,6515.275580150619
